step,x,y,vx,vy,ax,ay,goal_distance,obstacle_distance
0.0,0.0,0.0,0.0,0.0,0.05933618117209785,0.008900427175814676,10.111874208078342,4.0
1.0,2.3734472468839145e-05,3.5601708703258707e-06,0.0011867236234419571,0.00017800854351629353,0.05928871097368816,0.008893315190554113,10.11185020807834,3.9999762655287987
2.0,7.118442932715354e-05,1.0677667816873386e-05,0.00237249784291572,0.0003558748473273758,0.05924127324075645,0.008886245632728768,10.111802227278343,3.999928815582074
3.0,0.00014233089548177052,2.1349663016512408e-05,0.003557323307730849,0.0005335997599819511,0.05919386354057019,0.008879247846505983,10.111730284862983,3.9998576691500998
4.0,0.00023715490705261558,3.557335735475383e-05,0.004741200578542253,0.0007111847169120708,0.05914647800040718,0.008872347441922333,10.111634400001554,3.9997628452194993
5.0,0.00035563750982362354,5.334599066976418e-05,0.0059241301385503965,0.0008886316657505175,0.05909911325341985,0.008865566654878976,10.111514591848016,3.9996443627747764
6.0,0.0004977597578959994,7.466485064672612e-05,0.007106112403618793,0.001065942998848097,0.059051766378089614,0.008858924749728318,10.111370879541001,3.9995022407996434
7.0,0.0006635027125196111,9.952728052357938e-05,0.008287147731180586,0.0012431214938426634,0.05900443484279597,0.00885243838771395,10.111203282203833,3.9993364982781796
8.0,0.0008528474410803412,0.00012793068575551824,0.009467236428036506,0.0014201702615969424,0.05895711645644068,0.008846121955063629,10.111011818944538,3.999147154195825
9.0,0.0010657750162236476,0.00015987253976948253,0.01064637875716532,0.001597092700698215,0.05890980932479324,0.008839987852998965,10.11079650885586,3.9989342275402437
10.0,0.0013022665150968712,0.00019535038892464643,0.011824574943661185,0.0017738924577581942,0.05886251181201058,0.008834046753333689,10.110557371015267,3.998697737302075
11.0,0.0015623030186948993,0.0002343618567811438,0.013001825179901397,0.001950573392824868,0.05881522250677305,0.008828307823393302,10.110294424484975,3.9984377024755697
12.0,0.0018458656112956364,0.0002769046477669985,0.014178129630036859,0.0021271395492927342,0.05876794019251608,0.008822778923729067,10.110007688311955,3.9981541420591546
13.0,0.00215293537997338,0.0003229765503223448,0.01535348843388718,0.0023035951277673157,0.05872066382128585,0.008817466781768929,10.10969718152795,3.9978470750559056
14.0,0.002483493414179638,0.0003725754395903987,0.016527901710312896,0.0024799444634026942,0.05867339249079655,0.008812377144216472,10.10936292314949,3.9975165204739644
15.0,0.0028375208053822145,0.00042569927971613917,0.017701369560128827,0.0026561920062870238,0.05862612542431248,0.008807514910700072,10.109004932177914,3.997162497326895
16.0,0.003214998646754516,0.0004823461258061597,0.018873892068615075,0.0028323423045010254,0.058578861953020984,0.008802884250892838,10.108623227599374,3.996785024633993
