controller,step,x,y,vx,vy,speed,goal_distance,obstacle_distance,signed_clearance,closest_obstacle_x,closest_obstacle_y,used_obstacle_x,used_obstacle_y,avg_obstacle_x,avg_obstacle_y,goal_weight,heading_error,goal_ax,goal_ay,goal_norm,boundary_ax,boundary_ay,boundary_norm,collision_ax,collision_ay,collision_norm,total_ax,total_ay,total_norm
paper_pd,0.0,0.0,0.0,0.0,0.0,0.0,10.5,4.0,4.0,4.0,0.8502262466800878,4.0,-9.992007221626409e-16,4.0,-9.992007221626409e-16,0.9066666666666666,0.0,0.7615999999999999,0.0,0.7615999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.7615999999999999,0.0,0.7615999999999999
paper_pd,1.0,0.00030464,0.0,0.015231999999999999,0.0,0.015231999999999999,10.49969536,3.99969536,3.99969536,3.99969536,0.8501614934491406,3.99969536,-9.992007221626409e-16,3.99969536,-9.992007221626409e-16,0.9066524501333333,0.0,0.7539499619038074,0.0,0.7539499619038074,0.0,0.0,0.0,0.0,0.0,0.0,0.7539499619038074,0.0,0.7539499619038074
paper_pd,2.0,0.000910859984761523,0.0,0.030310999238076147,0.0,0.030310999238076147,10.499089140015238,3.999089140015239,3.9990891400152386,3.9990891400152386,0.8500326374135642,3.999089140015239,-9.992007221626409e-16,3.999089140015239,-9.992007221626409e-16,0.9066241598673779,0.0,0.746342730056084,0.0,0.746342730056084,0.0,0.0,0.0,0.0,0.0,0.0,0.746342730056084,0.0,0.746342730056084
paper_pd,3.0,0.0018156170615454795,0.0,0.04523785383919783,0.0,0.04523785383919783,10.498184382938454,3.9981843829384545,3.9981843829384545,3.998184382938454,0.8498403253601762,3.9981843829384545,-9.992007221626409e-16,3.9981843829384545,-9.992007221626409e-16,0.9065819378704613,0.0,0.7387782204408616,0.0,0.7387782204408616,0.0,0.0,0.0,0.0,0.0,0.0,0.7387782204408616,0.0,0.7387782204408616
paper_pd,4.0,0.0030158854265057806,0.0,0.060013418248015066,0.0,0.060013418248015066,10.496984114573495,3.996984114573494,3.996984114573494,3.9969841145734937,0.8495852004434389,3.996984114573494,-9.992007221626409e-16,3.996984114573494,-9.992007221626409e-16,0.906525925346763,0.0,0.7312563499011132,0.0,0.7312563499011132,0.0,0.0,0.0,0.0,0.0,0.0,0.7312563499011132,0.0,0.7312563499011132
paper_pd,5.0,0.0045086563314265275,0.0,0.07463854524603733,0.0,0.07463854524603733,10.495491343668574,3.995491343668574,3.9954913436685735,3.9954913436685735,0.849267902192528,3.995491343668574,-9.992007221626409e-16,3.995491343668574,-9.992007221626409e-16,0.9064562627045334,0.0,0.7237770360673491,0.0,0.7237770360673491,0.0,0.0,0.0,0.0,0.0,0.0,0.7237770360673491,0.0,0.7237770360673491
paper_pd,6.0,0.006290938050774214,0.0,0.08911408596738431,0.0,0.08911408596738431,10.493709061949225,3.993709061949226,3.9937090619492257,3.9937090619492257,0.8488890665183361,3.993709061949226,-9.992007221626409e-16,3.993709061949226,-9.992007221626409e-16,0.9063730895576305,0.0,0.7163401972881338,0.0,0.7163401972881338,0.0,0.0,0.0,0.0,0.0,0.0,0.7163401972881338,0.0,0.7163401972881338
paper_pd,7.0,0.008359755849037153,0.0,0.10344088991314698,0.0,0.10344088991314698,10.491640244150963,3.9916402441509637,3.991640244150963,3.9916402441509633,-0.8484493257204175,3.9916402441509637,-8.881784197001252e-16,3.9916402441509637,-8.881784197001252e-16,0.906276544727045,0.0,0.7089457525624941,0.0,0.7089457525624941,0.0,0.0,0.0,0.0,0.0,0.0,0.7089457525624941,0.0,0.7089457525624941
paper_pd,8.0,0.01071215194832509,0.0,0.11761980496439686,0.0,0.11761980496439686,10.489287848051674,3.989287848051675,3.9892878480516747,3.9892878480516747,0.847949308493865,3.989287848051675,-9.992007221626409e-16,3.989287848051675,-9.992007221626409e-16,0.9061667662424115,0.0,0.7015936214741864,0.0,0.7015936214741864,0.0,0.0,0.0,0.0,0.0,0.0,0.7015936214741864,0.0,0.7015936214741864
paper_pd,9.0,0.013345185496202701,0.0,0.1316516773938806,0.0,0.1316516773938806,10.486654814503797,3.9866548145037974,3.9866548145037974,3.9866548145037974,0.8473896399361663,3.9866548145037974,-9.992007221626409e-16,3.9866548145037974,-9.992007221626409e-16,0.9060438913435105,0.0,0.6942837241277943,0.0,0.6942837241277943,0.0,0.0,0.0,0.0,0.0,0.0,0.6942837241277943,0.0,0.6942837241277943
paper_pd,10.0,0.01625593253373143,0.0,0.14553735187643646,0.0,0.14553735187643646,10.483744067466269,3.9837440674662687,3.9837440674662687,3.9837440674662683,0.8467709415539779,3.9837440674662687,-9.992007221626409e-16,3.9837440674662687,-9.992007221626409e-16,0.9059080564817592,0.0,0.6870159810866251,0.0,0.6870159810866251,0.0,0.0,0.0,0.0,0.0,0.0,0.6870159810866251,0.0,0.6870159810866251
paper_pd,11.0,0.01944148596369481,0.0,0.15927767149816896,0.0,0.15927767149816896,10.480558514036305,3.9805585140363053,3.9805585140363053,3.980558514036305,0.8460938312698887,3.9805585140363053,-9.992007221626409e-16,3.9805585140363053,-9.992007221626409e-16,0.9057593973216943,0.0,0.6797903133123776,0.0,0.6797903133123776,0.0,0.0,0.0,0.0,0.0,0.0,0.6797903133123776,0.0,0.6797903133123776
paper_pd,12.0,0.02289895551898314,0.0,0.1728734777644165,0.0,0.1728734777644165,10.477101044481017,3.9771010444810164,3.977101044481017,3.9771010444810164,-0.8453589234291398,3.9771010444810164,-8.881784197001252e-16,3.9771010444810164,-8.881784197001252e-16,0.9055980487424474,0.0,0.6726066421065491,0.0,0.6726066421065491,0.0,0.0,0.0,0.0,0.0,0.0,0.6726066421065491,0.0,0.6726066421065491
paper_pd,13.0,0.02662546773111409,0.0,0.18632561060654748,0.0,0.18632561060654748,10.473374532268886,3.9733745322688856,3.973374532268886,3.9733745322688856,0.8445668288063061,3.9733745322688856,-9.992007221626409e-16,3.9733745322688856,-9.992007221626409e-16,0.9054241448392146,0.0,0.6654648890535555,0.0,0.6654648890535555,0.0,0.0,0.0,0.0,0.0,0.0,0.6654648890535555,0.0,0.6654648890535555
paper_pd,14.0,0.030618165898866463,0.0,0.1996349083876186,0.0,0.1996349083876186,10.469381834101133,3.9693818341011333,3.9693818341011333,3.9693818341011333,-0.8437181546119843,3.9693818341011333,-8.881784197001252e-16,3.9693818341011333,-8.881784197001252e-16,0.9052378189247196,0.0,0.658364975965534,0.0,0.658364975965534,0.0,0.0,0.0,0.0,0.0,0.0,0.658364975965534,0.0,0.658364975965534
paper_pd,15.0,0.03487421005700505,0.0,0.21280220790692927,0.0,0.21280220790692927,10.465125789942995,3.9651257899429955,3.965125789942995,3.9651257899429955,0.8428135044994127,3.9651257899429955,-9.992007221626409e-16,3.9651257899429955,-9.992007221626409e-16,0.9050392035306731,0.0,0.6513068248288005,0.0,0.6513068248288005,0.0,0.0,0.0,0.0,0.0,0.0,0.6513068248288005,0.0,0.6513068248288005
paper_pd,16.0,0.03939077694507515,0.0,0.2258283444035053,0.0,0.2258283444035053,10.460609223054925,3.9606092230549255,3.960609223054925,3.9606092230549255,0.841853478571132,3.9606092230549255,-9.43689570931383e-16,3.9606092230549255,-9.43689570931383e-16,0.9048284304092299,0.0,0.6442903577519354,0.0,0.6442903577519354,0.0,0.0,0.0,0.0,0.0,0.0,0.6442903577519354,0.0,0.6442903577519354
paper_pd,17.0,0.044165059976246035,0.0,0.238714151558544,0.0,0.238714151558544,10.455834940023754,3.9558349400237542,3.955834940023754,3.955834940023754,-0.8408386733855885,3.9558349400237542,-8.881784197001252e-16,3.9558349400237542,-8.881784197001252e-16,0.9046056305344419,0.0,0.6373154969154669,0.0,0.6373154969154669,0.0,0.0,0.0,0.0,0.0,0.0,0.6373154969154669,0.0,0.6373154969154669
paper_pd,18.0,0.049194269206183104,0.0,0.25146046149685336,0.0,0.25146046149685336,10.450805730793817,3.9508057307938174,3.950805730793817,3.950805730793817,0.839769681963752,3.9508057307938174,-9.992007221626409e-16,3.9508057307938174,-9.992007221626409e-16,0.9043709341037115,0.0,0.6303821645231275,0.0,0.6303821645231275,0.0,0.0,0.0,0.0,0.0,0.0,0.6303821645231275,0.0,0.6303821645231275
paper_pd,19.0,0.05447563130192942,0.0,0.2640681047873159,0.0,0.2640681047873159,10.44552436869807,3.945524368698071,3.9455243686980705,3.945524368698071,-0.8386470937957479,3.945524368698071,-9.992007221626409e-16,3.945524368698071,-9.992007221626409e-16,0.9041244705392433,0.0,0.6234902827546545,0.0,0.6234902827546545,0.0,0.0,0.0,0.0,0.0,0.0,0.6234902827546545,0.0,0.6234902827546545
paper_pd,20.0,0.0600063895107776,0.0,0.276537910442409,0.0,0.276537910442409,10.439993610489223,3.939993610489222,3.9399936104892226,3.939993610489222,0.8374714948474448,3.939993610489222,-9.992007221626409e-16,3.939993610489222,-9.992007221626409e-16,0.903866368489497,0.0,0.6166397737201111,0.0,0.6166397737201111,0.0,0.0,0.0,0.0,0.0,0.0,0.6166397737201111,0.0,0.6166397737201111
paper_pd,21.0,0.06578380362911383,0.0,0.28887070591681124,0.0,0.28887070591681124,10.434216196370887,3.934216196370886,3.9342161963708864,3.934216196370886,0.8362434675671074,3.934216196370886,-9.43689570931383e-16,3.934216196370886,-9.43689570931383e-16,0.9035967558306414,0.0,0.6098305594156959,0.0,0.6098305594156959,0.0,0.0,0.0,0.0,0.0,0.0,0.6098305594156959,0.0,0.6098305594156959
