step,x,y,vx,vy,ax,ay,goal_distance,obstacle_distance
0.0,0.0,0.0,0.0,0.0,0.05933618117209785,0.008900427175814676,10.111874208078342,4.0
1.0,2.3734472468839145e-05,3.5601708703258707e-06,0.0011867236234419571,0.00017800854351629353,0.05928871222716017,0.008893306834074024,10.11185020807834,3.9999762655287987
2.0,7.118442982854235e-05,1.0677664474281351e-05,0.0023724978679851606,0.00035587468019777403,0.059241281257378445,0.008886192188606763,10.111802227278343,3.999928815581572
3.0,0.00014233089969119695,2.1349634953679534e-05,0.0035573234931327294,0.0005335985239699093,0.05919388823237255,0.008879083234855882,10.111730284862983,3.999857669145891
4.0,0.00023715492484680054,3.557323872702007e-05,0.0047412012577801805,0.0007111801886670269,0.05914653312178665,0.008871979968267996,10.111634400001554,3.999762845201705
5.0,0.0003556375632511188,5.334563448766781e-05,0.005924131920215913,0.0008886197880323868,0.059099215895289214,0.008864882384293381,10.111514591848016,3.9996443627213445
6.0,0.0004977598880135527,7.46639832020329e-05,0.007106116238121697,0.0010659174357182544,0.059051936522572984,0.008857790478385948,10.111370879541001,3.9995022406695138
7.0,0.0006635029873850158,9.952544810775237e-05,0.008287154968573157,0.0012430732452859733,0.05900469497335493,0.008850704246003238,10.11120328220383,3.9993364980032773
8.0,0.0008528479647458209,0.00012792719471187313,0.009467248868040255,0.001420087330206038,0.05895749121737624,0.008843623682606437,10.11101181894453,3.9991471536720704
9.0,0.0010657759385935765,0.00015986639078903646,0.01064639869238778,0.0015969598038581669,0.058910325224402336,0.00883654878366035,10.110796508855836,3.998934226617677
10.0,0.001302268042531093,0.00019534020637966394,0.011824605196875827,0.001773690779531374,0.05886319696422281,0.008829479544633421,10.110557371015215,3.9986977357742424
11.0,0.0015623054252542987,0.0002343458137881448,0.013001869136160284,0.0019502803704240423,0.05881610640665144,0.008822415960997717,10.110294424484865,3.9984377000682576
12.0,0.001845869250540165,0.00027688038758102475,0.014178191264293313,0.002126728689643997,0.058769053521526116,0.008815358028228916,10.110007688311741,3.998154138418566
13.0,0.002152940697234642,0.0003229411045851963,0.015353572334723835,0.002303035850208575,0.058722038278708893,0.008808305741806334,10.109697181527554,3.9978470697363537
14.0,0.0024835009592406023,0.0003725251438860903,0.016528013100298014,0.0024792019650447016,0.05867506064808592,0.008801259097212888,10.109362923148796,3.997516512925154
15.0,0.002837531245505797,0.00042562968682586947,0.017701514313259732,0.0026552271469889592,0.058628120599567464,0.00879421808993512,10.109004932176738,3.9971624868808444
16.0,0.0032150127800108187,0.0004822519170016227,0.01887407672525108,0.0028311115087876616,0.058581218103087807,0.008787182715463174,10.108623227597459,3.9967850104916436
17.0,0.0036159268017570754,0.0005423890202635612,0.020045701087312837,0.003006855163096925,0.05853435312860534,0.008780152969290803,10.108217828381845,3.9963841026381184
18.0,0.004040254564754774,0.000606038184713216,0.021216388149884944,0.003182458222482741,0.058487525646102455,0.008773128846915368,10.1077887534856,3.995959782193175
19.0,0.004487977338010914,0.000673196600701637,0.022386138662806993,0.0033579207994210484,0.05844073562558557,0.00876611034383784,10.107336021849276,3.99551206802207
20.0,0.004959076405517288,0.0007438614608275932,0.023554953375318703,0.0035332430062978053,0.058393983037085116,0.00875909745556277,10.106859652398258,3.995040978982404
21.0,0.005453533066238496,0.0008180299599357744,0.024722833036060404,0.0037084249554090606,0.05834726785065544,0.008752090177598319,10.106359664042802,3.9945465339241295
22.0,0.005971328634099966,0.000895699295114995,0.025889778393073513,0.0038834667589610268,0.058300590036374916,0.00874508850545624,10.105836075678031,3.99402875168955
23.0,0.006512444437975986,0.000976866665696398,0.027055790193801013,0.004058368529070152,0.05825394956434582,0.00873809243465187,10.10528890618395,3.993487651113326
