step,time,x,y,z,vx,vy,vz,gx,gy,gz,goal_distance,obstacle_distance,signed_clearance
0.0,0.0,-1.8,-1.3,0.65,0.0,0.0,0.0,0.024196460302662367,0.0174752213297006,0.0030245575378327963,4.463462781294362,18.32425297322579,18.32425297322579
1.0,0.02,-1.8,-1.3,0.6500012279980178,0.0,0.0,6.139990088975367e-05,0.1209823048690465,0.08737610907208913,0.029996316005946613,4.463462657489507,18.324252363279626,18.324252363279626
2.0,0.04,-1.8,-1.3,0.650014907625749,0.0,0.0,0.0006839813865558498,0.12098234225059176,0.08737613606987182,0.029958961116806647,4.463461278353277,18.324245568617638,18.324245568617634
3.0,0.06,-1.7999580726265325,-1.2999697191191624,0.6500406838294271,0.002096368673376248,0.001514044041882845,0.0012888101839105205,0.04081894392128359,0.029480348387593728,-0.03416145768988342,4.463407224443475,18.32418830608106,18.32418830608106
4.0,0.08,-1.7997502689220615,-1.2998196386659333,0.6500474849162767,0.010390185223556328,0.007504022661457354,0.00034005434248150844,0.02344847905827527,0.01693501265319874,0.011930117156246768,4.463151511883469,18.323964574701765,18.323964574701765
5.0,0.1,-1.7994270466473354,-1.2995862007285583,0.6500564919594017,0.01616111373629666,0.011671896868743217,0.0004503521562518388,0.023129340149797475,0.016704636119245237,0.012396481774872417,4.462753929983433,18.323617360656225,18.323617360656225
6.0,0.12,-1.7988552542181022,-1.299173260291202,0.6500584802096213,0.028589621461661982,0.020647021867813562,9.941251098041461e-05,0.02256963168008748,0.016303863570002637,0.014783401085264287,4.462052011021085,18.323010070112854,18.323010070112854
7.0,0.14,-1.7982881895139644,-1.2987637251605912,0.6500663932934075,0.028353235206888937,0.020476756530541963,0.00039565418931108114,0.022493449365318025,0.016247284814922956,0.013753345760679507,4.46135529233553,18.322404850859275,18.32240485085928
8.0,0.16,-1.7972429437906907,-1.2980089415132507,0.6500352637745878,0.05226228616368042,0.03773918236702378,-0.0015564759409880222,0.02153900473414278,0.01556699282598081,0.01809468219421347,4.460075730375115,18.321312060693096,18.321312060693096
9.0,0.18,-1.7962226598253783,-1.2972721739710729,0.6500112658606875,0.05101419826562056,0.036838377108898375,-0.0011998956950130687,0.02152833284079606,0.01555840687238373,0.017477343741399285,4.458826081557593,18.32024221261488,18.320242212614875
10.0,0.2,-1.7947238928415177,-1.2961901943074616,0.6499496967356588,0.07493834919303077,0.0540989831805649,-0.003078456251433756,0.020339078596740015,0.014720459418955091,0.019280760449748115,4.456993231569038,18.318683941442565,18.31868394144256
11.0,0.22,-1.7932500941360807,-1.2951262280919884,0.649895732084654,0.0736899352718511,0.05319831077366284,-0.0026982325502429554,0.020345441963396504,0.014724283985211034,0.018839204677159795,4.455190257523859,18.317148405437553,18.317148405437553
12.0,0.24,-1.7912976350639482,-1.2937171561706413,0.6498047332789979,0.09762295360662496,0.07045359606735045,-0.004549940282806481,0.019057931484429986,0.013818289682453279,0.019915817393911628,4.45280396694126,18.315124199644806,18.315124199644806
13.0,0.26,-1.7893701625685978,-1.2923260757463881,0.6497215914089629,0.096373624767523,0.0695540212126618,-0.004157093501751987,0.019077420054473423,0.013830214896920384,0.019571890329587765,4.450447538414049,18.31312263685134,18.31312263685134
14.0,0.28,-1.7869638952030258,-1.290590001367504,0.6496017036146563,0.12031336827860117,0.08680371894420659,-0.005994389715328196,0.017741815536818258,0.012890298375743627,0.020333956073824763,4.447507747723681,18.31063233245617,18.31063233245617
15.0,0.3,-1.7845826443773063,-1.2888718791643465,0.6494898385141005,0.11906254128597976,0.08590611015787153,-0.005593255027790924,0.017771139982643527,0.012907317219891891,0.020052470834103723,4.444597816079762,18.308164628330896,18.308164628330896
16.0,0.32,-1.781722487044065,-1.2868088690163073,0.6493414160786652,0.14300786666205853,0.10315050740196081,-0.007421121771761072,0.01640825305278465,0.011947931870503251,0.02064740892848681,4.4411045088221615,18.305208192426022,18.30520819242602
17.0,0.34,-1.7788873857694862,-1.2847637578601776,0.6492011403083009,0.14175506372894284,0.10225555780648397,-0.007013788518219996,0.016445160274676004,0.011968228695525003,0.02040962024353782,4.437641064334378,18.302274341998245,18.30227434199825
18.0,0.36,-1.7755732804127626,-1.282373857993718,0.6490244470645612,0.16570526783618028,0.1194949933229717,-0.008834662186986648,0.015065093180002988,0.010996567744523187,0.020904097588653154,4.433594250198869,18.298851819872066,18.298851819872066
19.0,0.38,-1.7722842777157086,-1.2800017937489785,0.6488560018495445,0.16445013485270482,0.11860321223697344,-0.00842226075083559,0.015108011952905677,0.011019046457771794,0.02069886304856442,4.4295773075576825,18.29545188753061,18.295451887530607
20.0,0.4,-1.7685161821751467,-1.277285034818209,0.6486512522654362,0.18840477702809835,0.1358379465384797,-0.010237479205415099,0.013716262485601288,0.010039145880566496,0.021127808826040952,4.424977015220005,18.291563380634667,18.291563380634667
21.0,0.42,-1.764773240646273,-1.2745860413085104,0.6484548389860155,0.18714707644368592,0.13494967548493156,-0.009820663971035266,0.013764052194556089,0.010063136475616448,0.020947978185998084,4.420406607288917,18.2876974827992,18.2876974827992
22.0,0.44,-1.760551122709893,-1.2715424440851422,0.6482222186768737,0.2111058968190132,0.15217986116841065,-0.01163101545709079,0.01236387490315052,0.009077470802627371,0.021331653592184623,4.41525288096382,18.283343138268403,18.283343138268403
23.0,0.46,-1.7563542128700267,-1.2685165381216055,0.6479980151080629,0.2098454919933092,0.1512952981768299,-0.011210178440542293,0.012415676116292297,0.00910256066714156,0.021172372689754717,4.410129055747557,18.27901143494539,18.27901143494539
24.0,0.48,-1.7516780456084204,-1.2651461184569908,0.6477376921808565,0.23380836308031744,0.16852098323074022,-0.0130161463603201,0.011009125319658473,0.008112752189141212,0.021523444710907214,4.404421953419734,18.27419144016797,18.274191440167968
25.0,0.5,-1.747027141597375,-1.2617933142838462,0.6474858617163445,0.23254520055226602,0.16764020865722218,-0.012591523225601762,0.011064270488441117,0.008138687572231162,0.021381273718914143,4.398744772510046,18.269394130495247,18.269394130495247
26.0,0.52,-1.7418968997221362,-1.258096087264646,0.647197993548235,0.2565120937619456,0.18486135096001,-0.01439340840547203,0.009652710445629568,0.007145856054960105,0.021708131505111358,4.392484365024731,18.26410871013265,18.26410871013265
27.0,0.54,-1.736791975999464,-1.2544164002273321,0.6469186908330046,0.2552461861336058,0.18398435186569934,-0.013965135761522909,0.009710668551326353,0.0071724827990211,0.02158054983551533,4.386253902815139,18.25884602989961,18.25884602989961
28.0,0.56,-1.7312076330661554,-1.2503923834945214,0.6466034283749589,0.27921714666543224,0.20120083664053945,-0.01576312290228522,0.00829504365076129,0.006177432774630075,0.021889010489078816,4.379440273456516,18.25309544418703,18.25309544418703
29.0,0.58,-1.7256486619218825,-1.2463858329244917,0.646296802947478,0.277948557213649,0.20032752850148788,-0.015331271374042752,0.00835538441495446,0.006204659674749647,0.02177412145747224,4.3726566168001115,18.2473676644052,18.2473676644052
30.0,0.6,-1.7196101882320174,-1.2420350492169796,0.6459542935955462,0.30192368449325063,0.21753918537560524,-0.017125467596587642,0.006936371620333993,0.005207987721577348,0.022068373304871616,4.365289861172854,18.241152208160475,18.241152208160475
31.0,0.62,-1.7135971379541735,-1.2377016606023334,0.6456204923569092,0.30065251389219544,0.21666943073230727,-0.016690061931853288,0.006998741395945291,0.005235763371744976,0.021964719146641574,4.357953109319738,18.23495963422408,18.23495963422408
