step,time,x,y,vx,vy,ax,ay,heading,linear_speed,angular_speed,goal_distance,obstacle_distance,signed_clearance
0.0,0.0,0.0,0.0,0.0,0.0,0.10273333333333334,0.0,0.0,0.0,0.0,4.5,2.9166666666666665,1.7800007802744855
1.0,0.064,0.0074627930866031705,0.0,0.11387110273851747,0.0,0.09489580896245368,0.0,0.0,0.11387110273851747,0.0,4.492537206913397,2.909203873580063,1.7730150856952929
2.0,0.128,0.01474979175963192,0.0,0.11383448078109194,0.0,0.09486060579044876,0.0,0.0,0.11383448078109194,0.0,4.485250208240368,2.9019168749070348,1.766197713055541
3.0,0.192,0.022034106571951186,0.0,0.11379267670020529,0.0,0.09482576900684539,0.0,0.0,0.11379267670020529,0.0,4.477965893428049,2.894632560094715,1.759386614057211
4.0,0.256,0.029315746236889352,0.0,0.11375088521484725,0.0,0.09479094293303233,0.0,0.0,0.11375088521484725,0.0,4.47068425376311,2.8873509204297774,1.7525818202389976
5.0,0.32,0.03659471157600743,0.0,0.11370910655938958,0.0,0.09475612755101709,0.0,0.0,0.11370910655938958,0.0,4.463405288423993,2.880071955090659,1.745783371089633
6.0,0.384,0.0438710034103687,0.0,0.11366734073167815,0.0,0.09472132285899466,0.0,0.0,0.11366734073167815,0.0,4.456128996589631,2.872795663256298,1.7389913066727642
7.0,0.448,0.051144622560897836,0.0,0.1136255877295472,0.0,0.09468652885516003,0.0,0.0,0.1136255877295472,0.0,4.448855377439102,2.8655220441057687,1.7322056676364044
8.0,0.512,0.058415569848380894,0.0,0.11358384755083,0.0,0.09465174553770739,0.0,0.0,0.11358384755083,0.0,4.441584430151619,2.8582510968182855,1.7254264952229112
9.0,0.5760000000000001,0.06568384609346523,0.0,0.11354212019335902,0.0,0.09461697290483027,0.0,0.0,0.11354212019335902,0.0,4.4343161539065346,2.8509828205732015,1.7186538312791564
10.0,0.64,0.07294945211665943,0.0,0.11350040565496586,0.0,0.09458221095472145,0.0,0.0,0.11350040565496586,0.0,4.427050547883341,2.8437172145500074,1.7118877182668941
11.0,0.704,0.08021238873833329,0.0,0.11345870393348115,0.0,0.09454745968557293,0.0,0.0,0.11345870393348115,0.0,4.4197876112616665,2.836454277928333,1.70512819927333
12.0,0.768,0.08747265677871775,0.0,0.11341701502673474,0.0,0.09451271909557604,0.0,0.0,0.11341701502673474,0.0,4.412527343221282,2.8291940098879493,1.6983753180218966
13.0,0.8320000000000001,0.09473025705790485,0.0,0.11337533893255552,0.0,0.09447798918292127,0.0,0.0,0.11337533893255552,0.0,4.405269742942095,2.821936409608762,1.6916291188832393
14.0,0.896,0.1019851903958476,0.0,0.11333367564877152,0.0,0.09444326994579856,0.0,0.0,0.11333367564877152,0.0,4.3980148096041525,2.814681476270819,1.6848896468864154
15.0,0.96,0.10923745761236,0.0,0.11329202517320996,0.0,0.09440856138239694,0.0,0.0,0.11329202517320996,0.0,4.39076254238764,2.807429209054307,1.6781569477303135
16.0,1.024,0.116487059527117,0.0,0.1132503875036971,0.0,0.09437386349090476,0.0,0.0,0.1132503875036971,0.0,4.383512940472883,2.8001796071395497,1.6714310677952975
17.0,1.088,0.12373399695965438,0.0,0.11320876263805832,0.0,0.09433917626950974,0.0,0.0,0.11320876263805832,0.0,4.376266003040346,2.792932669707012,1.6647120541550744
18.0,1.1520000000000001,0.1309782707293687,0.0,0.11316715057411825,0.0,0.0943044997163987,0.0,0.0,0.11316715057411825,0.0,4.3690217292706315,2.785688395937298,1.6579999545888024
19.0,1.216,0.1382198816555173,0.0,0.11312555130970045,0.0,0.09426983382975788,0.0,0.0,0.11312555130970045,0.0,4.361780118344483,2.778446785011149,1.6512948175934297
20.0,1.28,0.14545883055721817,0.0,0.11308396484262778,0.0,0.09423517860777275,0.0,0.0,0.11308396484262778,0.0,4.354541169442782,2.7712078361094483,1.6445966923962818
21.0,1.344,0.15269511825344997,0.0,0.1130423911707221,0.0,0.09420053404862799,0.0,0.0,0.1130423911707221,0.0,4.34730488174655,2.763971548413217,1.6379056289678942
22.0,1.408,0.15992874556305192,0.0,0.11300083029180455,0.0,0.09416590015050762,0.0,0.0,0.11300083029180455,0.0,4.340071254436948,2.756737921103615,1.6312216780350983
23.0,1.472,0.16715971330472376,0.0,0.11295928220369524,0.0,0.09413127691159491,0.0,0.0,0.11295928220369524,0.0,4.332840286695276,2.749506953361943,1.6245448910943692
