step,time,x,y,z,vx,vy,vz,roll,pitch,yaw,yaw_rate,desired_vx_body,desired_vy_body,desired_yaw_rate,desired_altitude,goal_distance,signed_clearance,motor_m1,motor_m2,motor_m3,motor_m4
1768.0,58.624,2.7127579215374205,0.14715965408439838,0.8099197324484407,0.01855183085114135,-0.008292391273563857,-0.12957452971551425,-0.0010668725358539007,0.016142510177713655,-0.298029536731106,0.006677750488630131,0.020629004160002583,-0.0024861120874324575,0.0066014115203592676,0.641419247685925,0.5399777891034516,0.8589703757147571,53.217609432027,53.17966125675493,53.18272562212663,53.22097915327178
1769.0,58.656,2.7134975886939956,0.14685979755885906,0.8050009105599754,0.023114598642975707,-0.00937051642310483,-0.15371318401455988,-0.0009808051210944203,0.014994528334054999,-0.29781593460439615,0.006637525526459207,0.0244376543139159,-0.0022569713809812335,0.006504006695356967,0.6336099814427627,0.537603827898253,0.8590589998366462,53.269306440936866,53.233073597552156,53.23581154536111,53.272578464070214
1770.0,58.688,2.714373128361907,0.14652776949595891,0.7993281115301953,0.027360614622229096,-0.010375876965628262,-0.17727496968060572,-0.0008716287906317556,0.013564474239379311,-0.2976044329618858,0.006567359496596511,0.02790260926014077,-0.0020544686484314477,0.006386861798417031,0.6257572344499148,0.5348938937154436,0.8592044405248842,53.329635015343605,53.29585711832299,53.29827749567739,53.33277738349073
1771.0,58.72,2.715371830248338,0.14616645752925217,0.792922980147413,0.0312094339509662,-0.01129099895958704,-0.20016035571196936,-0.0007410652269484419,0.011870287563818626,-0.2973959291293403,0.006472527424688417,0.030959047203107687,-0.0018835800985954436,0.006253759977601369,0.6178943002559375,0.5318867286065041,0.8594069568539267,53.39840010421867,53.367875240169205,53.36994099347549,53.401340927313306
1772.0,58.752,2.7164785425186735,0.14577928016481712,0.785810278538753,0.03458475844798527,-0.012099292638594083,-0.2222719252706022,-0.0005912514714641523,0.009936227652289862,-0.2971911876607985,0.006357529994658615,0.03354782067159893,-0.0017487965216405124,0.006108815426567894,0.610054795379731,0.5286267582060081,0.8596655574923764,53.47538703546004,53.448887071318545,53.45055370542054,53.47804852783438
1773.0,58.784,2.7176758592874246,0.14537014577281918,0.7780178027422977,0.03741614902347669,-0.01278544974993702,-0.24351486863925356,-0.0004247943639211402,0.007792702120959982,-0.296990837454277,0.006226670782253812,0.03561669132380221,-0.001654027447615919,0.0059564423582315834,0.6022724891925512,0.5251636889265924,0.8599779394938598,53.56034921239917,53.538591768146894,53.53981741662597,53.56265577457433
1774.0,58.816,2.718944363328297,0.14494339947950458,0.7695762851437306,0.03964075127725176,-0.013335821666079772,-0.2637974249551939,-0.0002447555347276479,0.005475889728443548,-0.29679535942367724,0.006084319976810515,0.03712151745611675,-0.0016025110261978105,0.005801299234397837,0.5945811317813763,0.5215519868900242,0.8603404655875455,53.65300959927156,53.63663353914132,53.63738325545015,53.654891398550056
1775.0,58.848,2.7202629226167216,0.1445037584629747,0.7605192839234254,0.04120497776328068,-0.013738781766560237,-0.2830312881345678,-5.460652073619221e-05,0.003027177311290573,-0.296605070924367,0.005935012358585255,0.038027345351821874,-0.0015967336760410906,0.005648215197961792,0.5870142768438616,0.5178502278933533,0.8607481842946567,53.753061568923094,53.74260230523536,53.742850711164586,53.75445716349483
1776.0,58.88,2.721609037709177,0.14405623635380962,0.7508830604903095,0.04206609663922696,-0.013985065911406924,-0.3011319822848374,0.00014183619135863665,0.0004924037493419171,-0.29642011074975955,0.0057834559934023914,0.03830936709865501,-0.0016383614670324158,0.005502103030556504,0.5796051000530271,0.5141203096512144,0.8611948956981141,53.86016874636414,53.856034542364796,53.85576776996555,53.86102738581627
1777.0,58.912,2.722959235211528,0.1436060577659145,0.7407064458001729,0.042193671948469666,-0.014068080871723955,-0.3180192090668051,0.0003404925573128755,-0.0020790860500547615,-0.2962404272851358,0.005634490775393041,0.037953710629962376,-0.0017281850016711616,0.005367861864255174,0.5723862151771303,0.510426521054093,0.8616732638355817,53.97396433478185,53.976415096931355,53.97563224337389,53.97424799686892
