step,time,x,y,vx,vy,ax,ay,heading,linear_speed,angular_speed,goal_distance,obstacle_distance,signed_clearance
0.0,0.0,0.0,-0.12,0.0,0.0,-5.227179982281277,-0.3742639221550941,0.05992815512120789,0.0,0.0,4.50809272309255,0.9624065990481777,0.96
1.0,0.064,0.0,-0.12,0.0,-0.0,-5.227179982281277,-0.3742639221550941,-0.19607184487879212,0.0,-4.0,4.50809272309255,0.9624065990481777,0.96
2.0,0.128,0.0,-0.12,0.0,-0.0,-5.227179982281277,-0.3742639221550941,-0.45207184487879215,0.0,-4.0,4.50809272309255,0.9624065990481777,0.96
3.0,0.192,0.0,-0.12,0.0,-0.0,-5.227179982281277,-0.3742639221550941,-0.7080718448787919,0.0,-4.0,4.50809272309255,0.9624065990481777,0.96
4.0,0.256,0.0,-0.12,0.0,-0.0,-5.227179982281277,-0.3742639221550941,-0.9640718448787917,0.0,-4.0,4.50809272309255,0.9624065990481777,0.96
5.0,0.32,0.0,-0.12,0.0,-0.0,-5.227179982281277,-0.3742639221550941,-1.220071844878792,0.0,-4.0,4.50809272309255,0.9624065990481777,0.96
6.0,0.384,0.0,-0.12,0.0,-0.0,-5.227179982281277,-0.3742639221550941,-1.4760718448787922,0.0,-4.0,4.50809272309255,0.9624065990481777,0.96
7.0,0.448,-0.00011713277746072442,-0.12158646234829996,-0.006120643272572881,-0.03762186317483947,-5.222114961380019,-0.3551847001812402,-1.7320718448787924,0.038116490693877285,-4.0,4.508304938138957,0.9625240254627537,0.9601171327774607
8.0,0.512,-0.0011946695311177873,-0.12501055721973445,-0.0327930571781016,-0.0740823525276749,-5.190374790409553,-0.335382674477739,-1.9875268919892977,0.08101592161495752,-3.8637617776262587,4.509588036572483,0.9636042634652919,0.9611946695311178
9.0,0.5760000000000001,-0.004349314103876137,-0.13027179328909927,-0.06891041637096904,-0.09212785199768665,-5.118825600232883,-0.3221669872643123,-2.2130077362088194,0.11504862710231693,-3.0708721029237225,4.5130604938978545,0.9667668163345358,0.9643493141038761
10.0,0.64,-0.009737029114857227,-0.13619919807923708,-0.10113018170106261,-0.09412346458768082,-4.999504002204909,-0.31617011111455984,-2.392064303328813,0.13815404531492498,-2.435401961005262,4.518809362293446,0.9729592664552348,0.9697370291148572
11.0,0.704,-0.01697461144252502,-0.14198914136174032,-0.12588739253328307,-0.08753690776915052,-4.864926736493633,-0.3111653703552437,-2.533988376684805,0.15333083780053397,-1.9295922344486005,4.526402246717532,0.9804708606014245,0.976974611442525
12.0,0.768,-0.025581874792705184,-0.1472514281943913,-0.14351074572275258,-0.07750260553797722,-4.727078506628443,-0.30499275248092733,-2.646422689815592,0.163101158803596,-1.5287378319997789,4.535333473628578,0.9886225504028375,0.9855818747927052
13.0,0.8320000000000001,-0.03514512535559656,-0.15185584350315398,-0.15556516041217788,-0.06689101396729309,-4.582356195672328,-0.2982930466919255,-2.7355054726577026,0.16933672632845845,-1.2107646209690195,4.545179672828527,0.9976398288050542,0.9951451253555965
14.0,0.896,-0.04535617310990682,-0.1558092438033877,-0.16364007250430304,-0.05707511743514869,-4.425726971198476,-0.2921311403939714,-2.8060011138173913,0.17330794084360235,-0.9573736321646651,4.555631902823574,1.0078764743695796,1.0053561731099068
15.0,0.96,-0.05599791628553099,-0.15917851521915902,-0.16896965610055095,-0.048562365489141966,-4.269413342191485,-0.2852919377355308,-2.861732540352914,0.17580969263564356,-0.7566862832382013,4.566476581290133,1.0185448950545761,1.015997916285531
16.0,1.024,-0.06703049061728399,-0.16217208300931935,-0.17389641924947907,-0.04598548012145284,-3.762242771165556,-0.8478644772367939,-2.8830685784608576,0.1798739253193501,-0.1310044596428359,4.577687070086631,1.049974962722197,1.027030490617284
17.0,1.088,-0.07817274198817302,-0.16507163831162244,-0.17428826925266033,-0.04467873125250585,-3.6217197741977296,-0.8186479160119712,-2.890646865342962,0.17992384451601037,-0.10181521767129297,4.589001611761742,1.0613661386168471,1.038172741988173
18.0,1.1520000000000001,-0.08933672889798043,-0.1678971641166752,-0.17457761302449223,-0.04366099470977798,-3.485929192653912,-0.790288152351211,-2.8965245452225115,0.1799545093304878,-0.07868955708486935,4.600333707261402,1.0727795356352854,1.0493367288979805
19.0,1.216,-0.10051677618116671,-0.17066522371979803,-0.17479179446028548,-0.042874177454492686,-3.354732335272528,-0.7627862375312733,-2.9010545286632072,0.1799732382968257,-0.060354415068571324,4.611678739204154,1.084209351825397,1.0605167761811667
20.0,1.28,-0.11170870202254295,-0.1733890439745793,-0.17495016894780088,-0.042271622259527825,-3.227978135648182,-0.7361343178092725,-2.9045155896616928,0.17998458729379102,-0.04580251637575162,4.623033379294729,1.0956513119477547,1.0717087020225429
21.0,1.344,-0.12290938672885429,-0.17607917792203998,-0.17506661106318708,-0.04181604384074336,-3.1055097970008156,-0.7103182849167459,-2.907127846168338,0.17999138821521485,-0.03423695288030637,4.634395195511499,1.1071022266133008,1.0829093867288542
22.0,1.408,-0.13411647554261885,-0.17874404531113355,-0.17515118913776306,-0.04147775671356544,-2.987169104788792,-0.6853197084804982,-2.9090650112308816,0.17999539815884785,-0.025027272749869715,4.645762386974077,1.11855968845787,1.0941164755426187
23.0,1.472,-0.145328171246972,-0.1813903695724041,-0.1752112935359126,-0.04123319501693964,-2.872799217334906,-0.6611172507033827,-2.910464085899077,0.17999770485712507,-0.017674702564565603,4.6571336029392665,1.1300218601137044,1.105328171246972
24.0,1.536,-0.15654308750224674,-0.18402352896180493,-0.17525240499271094,-0.041063697228333015,-2.7622464540541842,-0.6376877051785059,-2.9114330262282815,0.17999897967985645,-0.011784610287554731,4.66850781767205,1.1414873242694832,1.1165430875022466
25.0,1.6,-0.16776014372182366,-0.186647837580486,-0.17527862412175493,-0.040954519475788334,-2.655361417539508,-0.6150067607458769,-2.912056806317574,0.1799996353871534,-0.007044705560088625,4.679884242784814,1.15295497619764,1.1277601437218236
26.0,1.6640000000000001,-0.1789784887121757,-0.18926676964932432,-0.175293041030864,-0.0408940405252574,-2.5519996694084175,-0.5930495626961051,-2.912402211638996,0.17999992440089957,-0.0032077840133293294,4.6912622649793905,1.1644239456884777,1.1389784887121757
27.0,1.728,-0.19019744449152434,-0.19188313816776748,-0.17529799675270968,-0.04087312464648176,-2.452022105366346,-0.5717911235959672,-2.912521627352624,0.1799999999552218,-7.80692589479326e-05,4.702641401221048,1.1758935396137014,1.1501974444915244
28.0,1.792,-0.201416464452293,-0.19449923707787947,-0.1752952705936471,-0.040884613025105696,-2.355295126830746,-0.5512066218887441,-2.9124560311507124,0.17999995409641803,0.002499597529488362,4.714021266028648,1.1873631991541964,1.161416464452293
29.0,1.856,-0.21263510185234508,-0.19711695433503615,-0.17528621608718545,-0.04092291903088977,-2.261690675014403,-0.5312716163722001,-2.9122373564669535,0.17999984125596397,0.004648314780701712,4.725401547297086,1.1988324675873405,1.172635101852345
30.0,1.92,-0.22385298583500998,-0.19973786185156472,-0.17527186079700027,-0.040983706951830845,-2.171086172558046,-0.5119621974287846,-2.9118903572586405,0.17999969284072845,0.00646589526887853,4.736781988206217,1.210300965771305,1.18385298583501
31.0,1.984,-0.23506980299779393,-0.20236328710090043,-0.1752529803311991,-0.04106363756538669,-2.0833644038563546,-0.49325509062688877,-2.911434078138257,0.17999952623567955,0.008030231400609988,4.748162373524953,1.221768373301998,1.195069802997794
32.0,2.048,-0.24628528308949726,-0.20499437021215988,-0.17523015369810527,-0.04116016710289132,-1.9984133557540746,-0.4751277244498898,-2.910883011901699,0.1799993503349374,0.009403546496369318,4.75954251912453,1.2332344138906468,1.2062852830894972
33.0,2.112,-0.2574991878025639,-0.2076321096128766,-0.17520380497383758,-0.041271388806512224,-1.9161260337830124,-0.457558271043998,-2.9102480092860747,0.17999916891843923,0.010635766155266513,4.770922263857189,1.2446988439057631,1.2174991878025638
34.0,2.176,-0.2687113018986403,-0.2102773986585943,-0.17517423479131333,-0.04139590844369904,-1.8364002645887285,-0.4405256667308548,-2.909536992149285,0.1799989826932399,0.011767195243001183,4.78230146319113,1.2561614433004404,1.2287113332119417
35.0,2.24,-0.2799214260976843,-0.21293105519394598,-0.17514164415955918,-0.04153274690333685,-1.759138492021692,-0.4240096174129646,-2.908755510449347,0.1799987905077428,0.01283064765970199,4.7936799841553785,1.267622008342602,1.2399248904593638
36.0,2.3040000000000003,-0.291129371299049,-0.21559384559707345,-0.17510615242657165,-0.04168126441916376,-1.6842475721212233,-0.40799059277171756,-2.9079071748210605,0.17999859005341678,0.013853145728898397,4.8050577012625855,1.2790803457069797,1.2511418763816187
37.0,2.368,-0.3023349538030914,-0.21826650454819668,-0.17506781070769392,-0.04184110211064969,-1.6116385706209666,-0.3924498122198157,-2.9069939897305646,0.17999837824774634,0.01485728214245885,4.816434493158927,1.2905362675899716,1.2623620204562944
38.0,2.432,-0.3135379912749935,-0.22094975151788385,-0.17502661174845968,-0.042012137452176905,-1.5412265654613384,-0.3773692248499181,-2.9060166067606197,0.1799981514167483,0.015862318589821234,4.827810239808405,1.3019895875832912,1.2735850628360277
