step,time,x,y,vx,vy,ax,ay,heading,linear_speed,angular_speed,goal_distance,obstacle_distance,signed_clearance
0.0,0.0,0.0,-0.08892693981581608,0.0,0.0,0.18153226737195402,0.013964020567073385,0.07677189126977804,0.0,0.0,2.8986635996728967,1.3550410850232395,1.354599508603083
1.0,0.064,0.008198625255591894,-0.08868305181047555,0.06805350303474432,-0.0033919638102857955,0.14169102923762458,-0.09133162763085599,-0.04980139111249176,0.06813798275404287,-4.0,2.8904704439558353,1.3581788284328626,1.358060547370938
2.0,0.128,0.016271276535822794,-0.08973131420426447,0.07842018834847066,-0.017152114203115923,0.11606555715084878,-0.09306430793667952,-0.2153296853846493,0.0802740366634589,-3.879897398811993,2.8825026720527522,1.3613647648719245,1.3613630586790566
3.0,0.192,0.024184645176428047,-0.09206196517217125,0.09400094492597362,-0.03562944365627676,0.08482747831513641,-0.09538065310401536,-0.3623016009722265,0.10052678698850236,-3.4238451000326595,2.8747949507706174,1.3645585818032366,1.3645002294321324
4.0,0.256,0.03126003021014807,-0.09527408500896724,0.09751598124136325,-0.05239278444660563,0.06684917871273835,-0.07870318704974053,-0.4930201637548231,0.11069946006884762,-1.8228037012952543,2.8679957247472405,1.3682467421482707,1.3680145731842122
5.0,0.32,0.03738212189109575,-0.09888267180758772,0.09029001067125593,-0.05733282530806202,0.06895590634497237,-0.059469546067680554,-0.5657475206142771,0.10695484507407911,-0.7142057968579119,2.8621837496690667,1.3723112810942382,1.3718776635196912
6.0,0.384,0.04308016299575627,-0.10262135495310666,0.08702401657697864,-0.05855904093969089,0.07097705574333806,-0.05176520974207987,-0.5923101712309735,0.10489204324907894,-0.2381175732611166,2.8568109763586595,1.3760679829490976,1.375482166047794
7.0,0.448,0.04862687263185498,-0.10638630554096333,0.08596302025452937,-0.058755606567316675,0.07174008645722786,-0.04912613261147197,-0.599565157039282,0.10412426304360542,-0.07096822034339367,2.8515973721143992,1.3791567395481634,1.378514642331012
8.0,0.512,0.05412585604301844,-0.11014751219975095,0.08565376782387225,-0.058643623782484194,0.07194949552624198,-0.048222549960101176,-0.600355625396894,0.10380579248176548,-0.016729508672824356,2.846437237949651,1.3814405800871075,1.3808519200508313
9.0,0.5760000000000001,0.059610335669473,-0.11389644116708056,0.0855567043745089,-0.05843889500149161,0.07194163428715482,-0.047895263498079,-0.599254437208669,0.10361010622725213,-0.0008580121565700536,2.841296734115126,1.3828954553081616,1.3824531360179542
10.0,0.64,0.06508900636171912,-0.1176308897477465,0.08549240443748586,-0.05821157063439245,0.07183749158022296,-0.047757669171085315,-0.5977901685991849,0.10342890394964802,0.0021709209334170865,2.8361669788393735,1.3835584887127519,1.3833111494425645
11.0,0.704,0.0705624710430039,-0.12135065584971097,0.08540406391505054,-0.0579847657252106,0.07168176312781793,-0.04767817044402987,-0.5964557172080507,0.10322832551879157,0.0009586169617623597,2.831047320860473,1.3835061974566265,1.383434860550278
12.0,0.768,0.07602884883204132,-0.12505616903805708,0.08527662280514213,-0.0577656380556136,0.07149438563436863,-0.047609336980667105,-0.5953906102841843,0.10299986085923923,-0.001552264829066008,2.825939639112594,1.3828430991246192,1.3828426070321331
13.0,0.8320000000000001,0.08148570955200816,-0.1287480203766649,0.0851098586498574,-0.05755568854716231,0.07128750862233049,-0.04753205832543206,-0.5946090889163969,0.10274407682945357,-0.004311022231716255,2.8208463758706017,1.3816937208002118,1.3815592286868852
14.0,0.896,0.08693077272930076,-0.1324267873959303,0.08490925374887197,-0.05735427399984444,0.07107085901727431,-0.04743721926213143,-0.5940774988332406,0.10246508731387272,-0.006911878658059423,2.8157698251175565,1.3801959421395658,1.3796143130297192
15.0,0.96,0.09236218103673684,-0.13609296243000424,0.08468271716280637,-0.057159865064540766,0.07085332719345289,-0.047319650821508484,-0.5937418054733417,0.10216855073980627,-0.009180599689113556,2.8107118534430593,1.378495198050745,1.3770408154563274
16.0,1.024,0.09777861698969895,-0.13974692080097662,0.08443925942059659,-0.05697054490939658,0.07064334302859795,-0.04717609969522536,-0.5935384674703803,0.10186084389387505,-0.011036177302037542,2.8056737804292826,1.3767395086216299,1.373873805410847
17.0,1.088,0.1031793533476492,-0.14338890697744325,0.08418834009664679,-0.05678424208860617,0.07044888284162426,-0.04700450100969328,-0.5933996154638801,0.10154864232379524,-0.012443150786762502,2.800656326617633,1.3750753768208386,1.37014927454616
18.0,1.1520000000000001,0.10856426900467324,-0.14701903047401416,0.08393946862623082,-0.0565988593715706,0.07027738389777023,-0.04680366114815249,-0.5932561337092214,0.10123865504547565,-0.013393688649159019,2.7956595967291236,1.3736445689266006,1.3659030039665772
19.0,1.216,0.11393384289861705,-0.1506372677003785,0.08370192114858814,-0.05641235140717145,0.07013565834159609,-0.046573058892596594,-0.593039819689764,0.10093743109100145,-0.01389944419552519,2.7906830853547273,1.372581760638691,1.361169507607889
20.0,1.28,0.11928913217423837,-0.1542434674407874,0.08348452852987388,-0.05622276931082562,0.07002983833761589,-0.04631267070909241,-0.5926850024312572,0.10065121108478349,-0.013986746247683535,2.785725698712969,1.3720130228199017,1.3559810746843195
21.0,1.344,0.12463173879492163,-0.15783735820656555,0.08329552091980544,-0.05602827971884432,0.06996536616697113,-0.04602278819900704,-0.5921297405033198,0.10038581540015903,-0.013693149373609326,2.7807857881395472,1.3720551440676212,1.350366934757822
22.0,1.408,0.12996376817966324,-0.16141855600851407,0.08314242471911179,-0.05582716277225106,0.06994704050866471,-0.04570381112967624,-0.5913166314534674,0.10014656704736606,-0.01306480575293073,2.7758611916040032,1.3728158503228167,1.3443525672035257
